artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename
John Singer Sargent,1918,genre painting,5000.0,1868.0,5424727.0,wikiart,Realism,Gassed,train_and_test,True,14128.jpg
Vincent van Gogh,1887,cityscape,2630.0,3461.0,9630782.0,wikiart,Post-Impressionism,Entrance to the Moulin de la Galette,train_and_test,True,75309.jpg
John Singer Sargent,1906,portrait,2400.0,3751.0,1163783.0,wikiart,Realism,"Frederick Sleigh Roberts, 1st Earl Roberts",train_and_test,True,85520.jpg
Vincent van Gogh,1886,self-portrait,2725.0,3301.0,9226662.0,wikiart,Post-Impressionism,Self-Portrait with Dark Felt Hat at the Easel,train_and_test,True,21520.jpg
Vincent van Gogh,1890,portrait,2479.0,3237.0,2183192.0,wikiart,Post-Impressionism,Young Peasant Girl in a Straw Hat sitting in front of a wheatfield,train_and_test,True,61388.jpg
Vincent van Gogh,1890,genre painting,2628.0,2970.0,6355177.0,wikiart,Post-Impressionism,Landscape with Couple Walking and Crescent Moon,train_and_test,True,87903.jpg
Vincent van Gogh,1889,sketch and study,3085.0,2527.0,6807323.0,wikiart,Post-Impressionism,The Courtyard of the Hospital at Arles,train_and_test,False,26488.jpg
Vincent van Gogh,1885,portrait,2448.0,3168.0,6362891.0,wikiart,Realism,Head of an Old Woman with White Cap The Midwife,train_and_test,True,60631.jpg
Vincent van Gogh,1887,landscape,3071.0,2489.0,2112277.0,wikiart,Post-Impressionism,On the Outskirts of Paris,train_and_test,True,25955.jpg
Vincent van Gogh,1890,flower painting,2739.0,2781.0,7336459.0,wikiart,Post-Impressionism,Japanese Vase with Roses and Anemones,train_and_test,True,53388.jpg
Vincent van Gogh,1888,cityscape,2430.0,3121.0,8185396.0,wikipedia,Post-Impressionism,Les Alyscamps,train_and_test,True,85049.jpg
Vincent van Gogh,1885,cityscape,2399.0,3140.0,6915108.0,wikiart,Realism,Backyards of Old Houses in Antwerp in the Snow,train_and_test,True,67895.jpg
Vincent van Gogh,1890,portrait,2739.0,2750.0,5404238.0,wikiart,Cloisonnism,Two Children,train_and_test,True,1426.jpg
Vincent van Gogh,1888,landscape,2870.0,2609.0,8288607.0,wikiart,Japonism,The Langlois Bridge at Arles with Women Washing,train_and_test,True,87809.jpg
Vincent van Gogh,1884,still life,3071.0,2394.0,1984313.0,wikiart,Realism,"Still Life with Four Stone Bottles, Flask and White Cup ",train_and_test,True,62470.jpg
Vincent van Gogh,1888,sketch and study,2987.0,2439.0,5714389.0,wikiart,Post-Impressionism,Field with Flowers,train_and_test,True,47623.jpg
Vincent van Gogh,1888,sketch and study,2309.0,3050.0,2043305.0,wikiart,Post-Impressionism,Portrait of the Postman Joseph Roulin,train_and_test,True,10639.jpg
Vincent van Gogh,1888,landscape,2300.0,3050.0,2255845.0,wikiart,Post-Impressionism,Wheat Field with Sheaves and Arles in the Background ,train_and_test,True,25444.jpg
John Singer Sargent,1884,portrait,1895.0,3680.0,1445234.0,wikiart,Realism,Madame X (also known as Madame Pierre Gautreau),train_and_test,True,11988.jpg
Vincent van Gogh,1890,flower painting,2169.0,3180.0,7132214.0,wikiart,Post-Impressionism,Still Life Vase with Rose-Mallows,train_and_test,True,31328.jpg
Vincent van Gogh,c.1885,sketch and study,2037.0,3354.0,5278566.0,wikiart,Realism,Head of a Young Man,train_and_test,True,10446.jpg
Vincent van Gogh,1889,landscape,2721.0,2499.0,6863350.0,wikiart,Post-Impressionism,Study of Pine Trees,train_and_test,False,7270.jpg
Vincent van Gogh,1888,portrait,2201.0,3079.0,2009873.0,wikiart,Post-Impressionism,Portrait of Eugene Boch,train_and_test,True,57934.jpg
Vincent van Gogh,1890,landscape,2130.0,3180.0,7462460.0,wikiart,Post-Impressionism,The Garden of Doctor Gachet at Auvers-sur-Oise,train_and_test,True,33956.jpg
Vincent van Gogh,1888,genre painting,2908.0,2297.0,6444167.0,wikiart,Post-Impressionism,Sower,train_and_test,True,87410.jpg
Vincent van Gogh,1888,landscape,2886.0,2285.0,7201227.0,wikiart,Post-Impressionism,"Harvest at La Crau, with Montmajour in the Background",train_and_test,True,5742.jpg
Vincent van Gogh,1888,landscape,2838.0,2287.0,6935883.0,wikiart,Post-Impressionism,Haystacks in Provence,train_and_test,True,63410.jpg
Vincent van Gogh,1887,still life,2727.0,2317.0,1908848.0,wikipedia,Post-Impressionism,Still Life with Basket of Apples (to Lucien Pissarro),train_and_test,True,5202.jpg
Vincent van Gogh,1887,landscape,2760.0,2280.0,6663663.0,wikiart,Post-Impressionism,Wheat Field with a Lark,train_and_test,True,70528.jpg
Vincent van Gogh,1887,still life,2716.0,2304.0,2005544.0,wikiart,Post-Impressionism,Still Life with Basket of Apples,train_and_test,True,25303.jpg
John Singer Sargent,1889,portrait,1763.0,3510.0,2047970.0,wikiart,Realism,Miss Ellen Terry as Lady Macbeth,train_and_test,True,100510.jpg
John Singer Sargent,c.1882,genre painting,2138.0,2890.0,2787479.0,wikiart,Realism,A Street in Venice ,train_and_test,True,74380.jpg
Vincent van Gogh,1887,cityscape,2725.0,2261.0,1841803.0,wikipedia,Post-Impressionism,Restaurant de la Sirene at Asnieres,train_and_test,True,21498.jpg
Vincent van Gogh,1888,landscape,2253.0,2725.0,1881049.0,wikiart,Post-Impressionism,Arles View from the Wheat Fields,train_and_test,True,14872.jpg
Vincent van Gogh,1890,genre painting,2735.0,2238.0,1980199.0,wikipedia,Post-Impressionism,The Drinkers (after Daumier),train_and_test,False,99669.jpg
Vincent van Gogh,1888,landscape,2242.0,2725.0,1826474.0,wikiart,Post-Impressionism,A Lane near Arles,train_and_test,True,73970.jpg
Vincent van Gogh,1887,flower painting,2245.0,2713.0,1938775.0,wikiart,Post-Impressionism,"Vase with Lilacs, Daisies and Anemones",train_and_test,True,41943.jpg
